# Mean radius calculation for 1s and 2p (m=0) Hydrogen state - Metropolis algorithm with Gaussian transition probability
# Total number of throws (sampled points): M = 10000000
# Number of blocks: N = 10000
# Throws per block: L = 1000
# 1s state ----------
# Initial position: (x,y,z) = (0, 0, 0)
# Gaussian proposal standard deviation: sigma = 0.75
# Acceptance rate: A = accepted/attempted = 0.505173
# 2p state ----------
# Initial position: (x,y,z) = (0, 0, 1)
# Gaussian proposal standard deviation: sigma = 1.9
# Acceptance rate: A = accepted/attempted = 0.495557
# Columns:
# 1) block index
# 2) block average for 1s state
# 3) progressive average <r> for 1s state
# 4) progressive statistical uncertainty for 1s state
# 5) block average for 2p state
# 6) progressive average <r> for 2p state
# 7) progressive statistical uncertainty for 2p state
286 1.44693 1.50939 0.00735554 4.75719 4.9678 0.0194452
287 1.29861 1.50865 0.00736656 5.06541 4.96814 0.0193803
288 1.50145 1.50863 0.00734098 4.80566 4.96758 0.0193211
289 1.43279 1.50836 0.00732024 5.0237 4.96777 0.0192551
290 1.43505 1.50811 0.00729934 4.82567 4.96728 0.0191948
291 1.60806 1.50846 0.00728231 4.42829 4.96543 0.0192182
292 1.45443 1.50827 0.00725969 5.39911 4.96692 0.0192098
293 1.50749 1.50827 0.00723487 4.79458 4.96633 0.0191532
294 1.58645 1.50853 0.00721512 4.93912 4.96624 0.0190881
295 1.29741 1.50782 0.00722615 4.81432 4.96572 0.0190303
296 1.57351 1.50804 0.00720512 4.79733 4.96515 0.0189744
297 1.54951 1.50818 0.00718217 4.76769 4.96449 0.0189221
298 1.40919 1.50785 0.00716573 5.13628 4.96506 0.0188673
299 1.52148 1.50789 0.00714187 4.9587 4.96504 0.0188041
300 1.5617 1.50807 0.00712029 4.81846 4.96455 0.0187477
301 1.54387 1.50819 0.00709759 4.66545 4.96356 0.0187117
302 1.33454 1.50762 0.00709738 4.95724 4.96354 0.0186497
303 1.31151 1.50697 0.00710346 5.49732 4.9653 0.0186713
304 1.38107 1.50655 0.00709216 5.00435 4.96543 0.0186102
305 1.40034 1.50621 0.00707744 5.14105 4.966 0.018558
306 1.42122 1.50593 0.00705974 5.3812 4.96736 0.018547
307 1.55339 1.50608 0.0070384 5.52053 4.96916 0.0185741
308 1.65718 1.50657 0.00703264 5.54417 4.97103 0.0186076
309 1.4494 1.50639 0.00701229 5.49038 4.97271 0.0186233
310 1.42157 1.50612 0.00699499 4.74144 4.97196 0.0185781
311 1.43001 1.50587 0.00697675 5.13131 4.97248 0.0185253
312 1.19343 1.50487 0.00702608 4.78414 4.97187 0.0184757
313 1.34843 1.50437 0.00702141 4.86218 4.97152 0.0184199
314 1.3969 1.50403 0.00700738 5.35209 4.97274 0.0184011
315 1.29255 1.50336 0.00701728 4.69248 4.97185 0.0183642
316 1.45651 1.50321 0.00699661 5.2944 4.97287 0.0183344
317 1.44542 1.50303 0.00697689 4.42841 4.97115 0.018357
318 1.34159 1.50252 0.00697342 4.91329 4.97097 0.0183001
319 1.46076 1.50239 0.00695275 4.51771 4.96955 0.0182979
320 1.52392 1.50245 0.00693132 4.74448 4.96884 0.0182542
321 1.55488 1.50262 0.00691162 5.25897 4.96975 0.0182197
322 1.72067 1.50329 0.00692332 4.94783 4.96968 0.0181631
323 1.56879 1.5035 0.00690483 5.08269 4.97003 0.0181102
